CNPJ,RazaoSocial,RegistroANS,Trimestre,Ano,ValorDespesas
,,000477,1,2025,787352278.25
,,000515,1,2025,66197785.31
,,000515,2,2025,65888310.559999995
,,000515,3,2025,87062972.51
,,000582,1,2025,8752772938.93
,,000582,2,2025,17408169629.56
,,000582,3,2025,26277461939.63
,,000701,1,2025,7735173143.66
,,000701,2,2025,14817050158.69
,,000701,3,2025,22231410935.8
,,000884,1,2025,636134051.76
,,000884,2,2025,1059994350.24
,,000884,3,2025,1490270784.89
,,005711,1,2025,61214533180.84
,,005711,2,2025,106904045610.1
,,005711,3,2025,154569768401.46
,,006246,1,2025,48691461602.32
,,006246,2,2025,84499488764.67
,,006246,3,2025,122532727009.81999
,,300136,1,2025,186512982.8
,,300136,2,2025,339502776.15
,,300136,3,2025,496302329.03
,,300713,1,2025,194324817.8
,,300713,2,2025,366171407.91
,,300713,3,2025,537567980.35
,,300730,1,2025,4799298.67
,,300730,2,2025,9161543.290000001
,,300730,3,2025,13503758.34
,,301060,1,2025,98005451.46
,,301060,2,2025,176072010.93
,,301060,3,2025,265147544.29000002
,,301124,1,2025,67061489.06
,,301124,2,2025,117659648.03
,,301124,3,2025,169046228.3
,,301574,1,2025,308911569.52
,,301574,2,2025,631871644.6899999
,,301574,3,2025,985474475.6700001
,,301728,1,2025,106936229.64999999
,,301728,2,2025,189154386.38
,,301728,3,2025,277115525.52
,,301744,1,2025,121755594.78
,,301744,2,2025,214603753.78
,,301744,3,2025,323355553.74
,,301949,1,2025,1072916385.08
,,301949,2,2025,2035371546.1200001
,,301949,3,2025,3119470439.1899996
,,302147,1,2025,7475871076.45
,,302147,2,2025,14979758879.76
,,302147,3,2025,22672927451.67
,,302228,1,2025,40252966.71
,,302228,2,2025,77814598.75
,,302228,3,2025,117666586.99
,,302627,1,2025,60010230.4
,,302627,2,2025,122868593.63
,,302627,3,2025,177441028.26999998
,,302953,1,2025,624470385.04
,,302953,2,2025,1289025850.43
,,302953,3,2025,1983959508.81
,,303178,1,2025,96837081.42
,,303178,2,2025,189264933.77
,,303178,3,2025,291995561.52
,,303267,1,2025,588532008.3100001
,,303267,2,2025,1201229566.71
,,303267,3,2025,1844435523.24
,,303356,1,2025,837035622.38
,,303356,2,2025,1607316590.6100001
,,303356,3,2025,2493083670.6
,,303623,1,2025,1061042843.6700001
,,303623,2,2025,2095579779.74
,,303623,3,2025,3159065045.98
,,303739,1,2025,287472951.2
,,303739,2,2025,557820952.25
,,303739,3,2025,849364164.1700001
,,303844,1,2025,74518543.62
,,303844,2,2025,144965669.20999998
,,303844,3,2025,218097153.42
,,303976,1,2025,2366263521.63
,,303976,2,2025,4335467935.74
,,303976,3,2025,6295888789.88
,,304051,1,2025,235224392.10999998
,,304051,2,2025,413799760.7
,,304051,3,2025,576366006.24
,,304123,1,2025,81179362.79
,,304123,2,2025,147896770.26
,,304123,3,2025,221833649.4
,,304131,1,2025,173847171.5
,,304131,2,2025,320087735.59
,,304131,3,2025,480666314.72
,,304212,1,2025,15761364.02
,,304212,2,2025,39176261.839999996
,,304212,3,2025,77836547.77
,,304344,1,2025,143130010.75
,,304344,2,2025,267976913.14
,,304344,3,2025,397613597.5
,,304395,1,2025,171241656.39000002
,,304395,2,2025,341337283.14
,,304395,3,2025,510973353.31
,,304441,1,2025,26163441.26
,,304441,2,2025,47964826.76
,,304441,3,2025,68497893.39999999
,,304468,1,2025,197708163.07
,,304468,2,2025,362511067.69
,,304468,3,2025,539150018.47
,,304484,1,2025,73102169.53
,,304484,2,2025,144049606.81
,,304484,3,2025,227678140.31
,,304531,1,2025,16990010.43
,,304531,2,2025,29245486.8
,,304531,3,2025,41640666.230000004
,,304701,1,2025,5156720424.84
,,304701,2,2025,9772038491.28
,,304701,3,2025,14712021587.57
,,304883,1,2025,324874895.65
,,304883,2,2025,665227374.73
,,304883,3,2025,954452322.08
,,305227,1,2025,153918063.53
,,305227,2,2025,279208228.75
,,305227,3,2025,425030640.95
,,305421,1,2025,5744407.91
,,305421,2,2025,11497901.65
,,305421,3,2025,14660492.83
,,305472,1,2025,156079411.8
,,305472,2,2025,284889510.24
,,305472,3,2025,436375244.98
,,305626,1,2025,63411742.1
,,305626,2,2025,97642959.64
,,305626,3,2025,138907711.89000002
,,305928,1,2025,10896605.8
,,305928,2,2025,20905999.56
,,305928,3,2025,30746763.77
,,306045,1,2025,14844339.389999999
,,306045,2,2025,24230839.95
