CNPJ,RazaoSocial,RegistroANS,Trimestre,Ano,ValorDespesas
47184510000120,SUL AMÉRICA SEGURADORA DE SAÚDE S.A.,000477,1,2025,787352278.25
04439627000102,ALLIANZ SAÚDE S/A,000515,1,2025,66197785.31
04439627000102,ALLIANZ SAÚDE S/A,000515,2,2025,65888310.559999995
04439627000102,ALLIANZ SAÚDE S/A,000515,3,2025,87062972.51
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,000582,1,2025,8752772938.93
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,000582,2,2025,17408169629.56
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,000582,3,2025,26277461939.63
04487255000181,UNIMED SEGUROS SAÚDE S/A,000701,1,2025,7735173143.66
04487255000181,UNIMED SEGUROS SAÚDE S/A,000701,2,2025,14817050158.69
04487255000181,UNIMED SEGUROS SAÚDE S/A,000701,3,2025,22231410935.8
04463083000106,ITAUSEG SAÚDE S.A.,000884,1,2025,636134051.76
04463083000106,ITAUSEG SAÚDE S.A.,000884,2,2025,1059994350.24
04463083000106,ITAUSEG SAÚDE S.A.,000884,3,2025,1490270784.89
92693118000160,BRADESCO SAÚDE S.A.,005711,1,2025,61214533180.84
92693118000160,BRADESCO SAÚDE S.A.,005711,2,2025,106904045610.1
92693118000160,BRADESCO SAÚDE S.A.,005711,3,2025,154569768401.46
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,006246,1,2025,48691461602.32
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,006246,2,2025,84499488764.67
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,006246,3,2025,122532727009.81999
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,300136,1,2025,186512982.8
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,300136,2,2025,339502776.15
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,300136,3,2025,496302329.03
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,300713,1,2025,194324817.8
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,300713,2,2025,366171407.91
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,300713,3,2025,537567980.35
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,300730,1,2025,4799298.67
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,300730,2,2025,9161543.290000001
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,300730,3,2025,13503758.34
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,301060,1,2025,98005451.46
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,301060,2,2025,176072010.93
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,301060,3,2025,265147544.29000002
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,301124,1,2025,67061489.06
