CNPJ,RazaoSocial,RegistroANS,Trimestre,Ano,ValorDespesas,UF,Modalidade
47184510000120,SUL AMÉRICA SEGURADORA DE SAÚDE S.A.,000477,1,2025,787352278.25,SP,Seguradora Especializada em Saúde
04439627000102,ALLIANZ SAÚDE S/A,000515,1,2025,66197785.31,SP,Seguradora Especializada em Saúde
04439627000102,ALLIANZ SAÚDE S/A,000515,2,2025,65888310.559999995,SP,Seguradora Especializada em Saúde
04439627000102,ALLIANZ SAÚDE S/A,000515,3,2025,87062972.51,SP,Seguradora Especializada em Saúde
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,000582,1,2025,8752772938.93,SP,Seguradora Especializada em Saúde
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,000582,2,2025,17408169629.56,SP,Seguradora Especializada em Saúde
04540010000170,PORTO SEGURO - SEGURO SAÚDE S/A,000582,3,2025,26277461939.63,SP,Seguradora Especializada em Saúde
04487255000181,UNIMED SEGUROS SAÚDE S/A,000701,1,2025,7735173143.66,SP,Seguradora Especializada em Saúde
04487255000181,UNIMED SEGUROS SAÚDE S/A,000701,2,2025,14817050158.69,SP,Seguradora Especializada em Saúde
04487255000181,UNIMED SEGUROS SAÚDE S/A,000701,3,2025,22231410935.8,SP,Seguradora Especializada em Saúde
04463083000106,ITAUSEG SAÚDE S.A.,000884,1,2025,636134051.76,SP,Seguradora Especializada em Saúde
04463083000106,ITAUSEG SAÚDE S.A.,000884,2,2025,1059994350.24,SP,Seguradora Especializada em Saúde
04463083000106,ITAUSEG SAÚDE S.A.,000884,3,2025,1490270784.89,SP,Seguradora Especializada em Saúde
92693118000160,BRADESCO SAÚDE S.A.,005711,1,2025,61214533180.84,RJ,Seguradora Especializada em Saúde
92693118000160,BRADESCO SAÚDE S.A.,005711,2,2025,106904045610.1,RJ,Seguradora Especializada em Saúde
92693118000160,BRADESCO SAÚDE S.A.,005711,3,2025,154569768401.46,RJ,Seguradora Especializada em Saúde
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,006246,1,2025,48691461602.32,RJ,Seguradora Especializada em Saúde
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,006246,2,2025,84499488764.67,RJ,Seguradora Especializada em Saúde
01685053000156,SUL AMERICA COMPANHIA DE SEGURO SAÚDE,006246,3,2025,122532727009.81999,RJ,Seguradora Especializada em Saúde
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,300136,1,2025,186512982.8,RS,Cooperativa Médica
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,300136,2,2025,339502776.15,RS,Cooperativa Médica
00103956000119,UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,300136,3,2025,496302329.03,RS,Cooperativa Médica
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,300713,1,2025,194324817.8,SP,Cooperativa Médica
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,300713,2,2025,366171407.91,SP,Cooperativa Médica
54991211000162,UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,300713,3,2025,537567980.35,SP,Cooperativa Médica
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,300730,1,2025,4799298.67,PB,Odontologia de Grupo
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,300730,2,2025,9161543.290000001,PB,Odontologia de Grupo
01402285000150,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,300730,3,2025,13503758.34,PB,Odontologia de Grupo
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,301060,1,2025,98005451.46,MG,Cooperativa Médica
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,301060,2,2025,176072010.93,MG,Cooperativa Médica
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,301060,3,2025,265147544.29000002,MG,Cooperativa Médica
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,301124,1,2025,67061489.06,TO,Cooperativa Médica
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,301124,2,2025,117659648.03,TO,Cooperativa Médica
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,301124,3,2025,169046228.3,TO,Cooperativa Médica
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,301574,1,2025,308911569.52,SP,Cooperativa Médica
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,301574,2,2025,631871644.6899999,SP,Cooperativa Médica
50480953000172,UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,301574,3,2025,985474475.6700001,SP,Cooperativa Médica
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,301728,1,2025,106936229.64999999,MG,Medicina de Grupo
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,301728,2,2025,189154386.38,MG,Medicina de Grupo
20168589000149,PRONTOMED PLANOS DE SAÚDE LTDA,301728,3,2025,277115525.52,MG,Medicina de Grupo
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,301744,1,2025,121755594.78,SC,Cooperativa Médica
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,301744,2,2025,214603753.78,SC,Cooperativa Médica
01356020000162,UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,301744,3,2025,323355553.74,SC,Cooperativa Médica
58119199000151,ODONTOPREV S/A,301949,1,2025,1072916385.08,SP,Odontologia de Grupo
58119199000151,ODONTOPREV S/A,301949,2,2025,2035371546.1200001,SP,Odontologia de Grupo
58119199000151,ODONTOPREV S/A,301949,3,2025,3119470439.1899996,SP,Odontologia de Grupo
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,302147,1,2025,7475871076.45,SP,Medicina de Grupo
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,302147,2,2025,14979758879.76,SP,Medicina de Grupo
00461479000163,PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA,302147,3,2025,22672927451.67,SP,Medicina de Grupo
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,302228,1,2025,40252966.71,GO,Cooperativa Médica
00747041000146,UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO,302228,2,2025,77814598.75,GO,Cooperativa Médica
